active_cnt,block_time,chain,events_cnt,extrinsics_cnt,transfers_cnt,union_cnt
491.0,2025-06-26 00:00:00.000 UTC,Astar,,,,
447.0,2025-05-07 00:00:00.000 UTC,Astar,,,,
265.0,2025-07-13 00:00:00.000 UTC,Astar,,,,
344.0,2025-06-27 00:00:00.000 UTC,Astar,,,,
349.0,2025-05-31 00:00:00.000 UTC,Astar,,,,
488.0,2025-05-09 00:00:00.000 UTC,Astar,,,,
237.0,2025-05-25 00:00:00.000 UTC,Astar,,,,
385.0,2025-05-18 00:00:00.000 UTC,Astar,,,,
345.0,2025-06-16 00:00:00.000 UTC,Astar,,,,
271.0,2025-07-08 00:00:00.000 UTC,Astar,,,,
278.0,2025-05-04 00:00:00.000 UTC,Astar,,,,
380.0,2025-05-26 00:00:00.000 UTC,Astar,,,,
343.0,2025-06-29 00:00:00.000 UTC,Astar,,,,
320.0,2025-06-03 00:00:00.000 UTC,Astar,,,,
424.0,2025-06-23 00:00:00.000 UTC,Astar,,,,
459.0,2025-05-08 00:00:00.000 UTC,Astar,,,,
390.0,2025-06-24 00:00:00.000 UTC,Astar,,,,
397.0,2025-05-15 00:00:00.000 UTC,Astar,,,,
362.0,2025-06-05 00:00:00.000 UTC,Astar,,,,
377.0,2025-05-27 00:00:00.000 UTC,Astar,,,,
239.0,2025-06-08 00:00:00.000 UTC,Astar,,,,
379.0,2025-06-22 00:00:00.000 UTC,Astar,,,,
362.0,2025-07-12 00:00:00.000 UTC,Astar,,,,
355.0,2025-06-02 00:00:00.000 UTC,Astar,,,,
511.0,2025-05-11 00:00:00.000 UTC,Astar,,,,
282.0,2025-05-17 00:00:00.000 UTC,Astar,,,,
433.0,2025-07-11 00:00:00.000 UTC,Astar,,,,
340.0,2025-05-21 00:00:00.000 UTC,Astar,,,,
306.0,2025-05-20 00:00:00.000 UTC,Astar,,,,
371.0,2025-07-05 00:00:00.000 UTC,Astar,,,,
419.0,2025-05-30 00:00:00.000 UTC,Astar,,,,
412.0,2025-07-22 00:00:00.000 UTC,Astar,,,,
418.0,2025-06-11 00:00:00.000 UTC,Astar,,,,
447.0,2025-07-18 00:00:00.000 UTC,Astar,,,,
295.0,2025-05-16 00:00:00.000 UTC,Astar,,,,
417.0,2025-07-21 00:00:00.000 UTC,Astar,,,,
400.0,2025-07-06 00:00:00.000 UTC,Astar,,,,
278.0,2025-05-24 00:00:00.000 UTC,Astar,,,,
313.0,2025-06-04 00:00:00.000 UTC,Astar,,,,
430.0,2025-06-10 00:00:00.000 UTC,Astar,,,,
346.0,2025-07-07 00:00:00.000 UTC,Astar,,,,
367.0,2025-06-13 00:00:00.000 UTC,Astar,,,,
391.0,2025-07-19 00:00:00.000 UTC,Astar,,,,
366.0,2025-07-10 00:00:00.000 UTC,Astar,,,,
395.0,2025-06-19 00:00:00.000 UTC,Astar,,,,
397.0,2025-07-15 00:00:00.000 UTC,Astar,,,,
404.0,2025-07-14 00:00:00.000 UTC,Astar,,,,
404.0,2025-06-17 00:00:00.000 UTC,Astar,,,,
358.0,2025-05-28 00:00:00.000 UTC,Astar,,,,
340.0,2025-06-18 00:00:00.000 UTC,Astar,,,,
517.0,2025-05-12 00:00:00.000 UTC,Astar,,,,
404.0,2025-07-09 00:00:00.000 UTC,Astar,,,,
403.0,2025-07-02 00:00:00.000 UTC,Astar,,,,
404.0,2025-07-16 00:00:00.000 UTC,Astar,,,,
357.0,2025-05-22 00:00:00.000 UTC,Astar,,,,
386.0,2025-06-21 00:00:00.000 UTC,Astar,,,,
312.0,2025-06-09 00:00:00.000 UTC,Astar,,,,
380.0,2025-05-23 00:00:00.000 UTC,Astar,,,,
310.0,2025-06-06 00:00:00.000 UTC,Astar,,,,
343.0,2025-06-30 00:00:00.000 UTC,Astar,,,,
393.0,2025-06-12 00:00:00.000 UTC,Astar,,,,
459.0,2025-07-01 00:00:00.000 UTC,Astar,,,,
378.0,2025-07-23 00:00:00.000 UTC,Astar,,,,
533.0,2025-05-10 00:00:00.000 UTC,Astar,,,,
340.0,2025-05-29 00:00:00.000 UTC,Astar,,,,
389.0,2025-07-20 00:00:00.000 UTC,Astar,,,,
144.0,2025-07-24 00:00:00.000 UTC,Astar,,,,
278.0,2025-05-05 00:00:00.000 UTC,Astar,,,,
408.0,2025-05-06 00:00:00.000 UTC,Astar,,,,
327.0,2025-05-19 00:00:00.000 UTC,Astar,,,,
394.0,2025-07-17 00:00:00.000 UTC,Astar,,,,
370.0,2025-05-14 00:00:00.000 UTC,Astar,,,,
345.0,2025-06-15 00:00:00.000 UTC,Astar,,,,
291.0,2025-06-07 00:00:00.000 UTC,Astar,,,,
320.0,2025-06-28 00:00:00.000 UTC,Astar,,,,
374.0,2025-07-04 00:00:00.000 UTC,Astar,,,,
321.0,2025-06-01 00:00:00.000 UTC,Astar,,,,
404.0,2025-06-20 00:00:00.000 UTC,Astar,,,,
466.0,2025-05-13 00:00:00.000 UTC,Astar,,,,
375.0,2025-06-25 00:00:00.000 UTC,Astar,,,,
365.0,2025-07-03 00:00:00.000 UTC,Astar,,,,
341.0,2025-06-14 00:00:00.000 UTC,Astar,,,,
,2025-05-23 00:00:00.000 UTC,Frequency,,,1.0,
,2025-05-24 00:00:00.000 UTC,Frequency,,,1.0,
,2025-06-04 00:00:00.000 UTC,Frequency,,,16.0,
,2025-06-15 00:00:00.000 UTC,Frequency,,,1.0,
,2025-06-16 00:00:00.000 UTC,Frequency,,,5.0,
,2025-06-23 00:00:00.000 UTC,Frequency,,,2.0,
,2025-06-24 00:00:00.000 UTC,Frequency,,,5.0,
,2025-06-25 00:00:00.000 UTC,Frequency,,,27.0,
,2025-06-26 00:00:00.000 UTC,Frequency,,,2.0,
,2025-06-28 00:00:00.000 UTC,Frequency,,,1.0,
,2025-07-01 00:00:00.000 UTC,Frequency,,,1.0,
,2025-07-02 00:00:00.000 UTC,Frequency,,,6.0,
,2025-07-09 00:00:00.000 UTC,Frequency,,,1.0,
,2025-07-11 00:00:00.000 UTC,Frequency,,,3.0,
,2025-07-12 00:00:00.000 UTC,Frequency,,,1.0,
,2025-07-17 00:00:00.000 UTC,Frequency,,,1.0,
,2025-07-21 00:00:00.000 UTC,Frequency,,,1.0,
,2025-07-23 00:00:00.000 UTC,Frequency,,,4.0,
,2025-05-04 00:00:00.000 UTC,Logion,81767.0,,,
,2025-05-05 00:00:00.000 UTC,Logion,79953.0,,,
,2025-05-06 00:00:00.000 UTC,Logion,69195.0,,,
,2025-05-07 00:00:00.000 UTC,Logion,75215.0,,,
,2025-05-08 00:00:00.000 UTC,Logion,81703.0,,,
,2025-05-09 00:00:00.000 UTC,Logion,82560.0,,,
,2025-05-10 00:00:00.000 UTC,Logion,81234.0,,,
,2025-05-11 00:00:00.000 UTC,Logion,82163.0,,,
,2025-05-12 00:00:00.000 UTC,Logion,81717.0,,,
,2025-05-13 00:00:00.000 UTC,Logion,81181.0,,,
,2025-05-14 00:00:00.000 UTC,Logion,81793.0,,,
,2025-05-15 00:00:00.000 UTC,Logion,81506.0,,,
,2025-05-16 00:00:00.000 UTC,Logion,81235.0,,,
,2025-05-17 00:00:00.000 UTC,Logion,81558.0,,,
,2025-05-18 00:00:00.000 UTC,Logion,81403.0,,,
,2025-05-19 00:00:00.000 UTC,Logion,81500.0,,,
,2025-05-20 00:00:00.000 UTC,Logion,81052.0,,,
,2025-05-21 00:00:00.000 UTC,Logion,81792.0,,,
,2025-05-22 00:00:00.000 UTC,Logion,80961.0,,,
,2025-05-23 00:00:00.000 UTC,Logion,81623.0,,,
,2025-05-24 00:00:00.000 UTC,Logion,81793.0,,,
,2025-05-25 00:00:00.000 UTC,Logion,81688.0,,,
,2025-05-26 00:00:00.000 UTC,Logion,81494.0,,,
,2025-05-27 00:00:00.000 UTC,Logion,81994.0,,,
,2025-05-28 00:00:00.000 UTC,Logion,81390.0,,,
,2025-05-29 00:00:00.000 UTC,Logion,82377.0,,,
,2025-05-30 00:00:00.000 UTC,Logion,81364.0,,,
,2025-05-31 00:00:00.000 UTC,Logion,81194.0,,,
,2025-06-01 00:00:00.000 UTC,Logion,77125.0,,,
,2025-06-02 00:00:00.000 UTC,Logion,81559.0,,,
,2025-06-03 00:00:00.000 UTC,Logion,81916.0,,,
,2025-06-04 00:00:00.000 UTC,Logion,82222.0,,,
,2025-06-05 00:00:00.000 UTC,Logion,81428.0,,,
,2025-06-06 00:00:00.000 UTC,Logion,82261.0,,,
,2025-06-07 00:00:00.000 UTC,Logion,81623.0,,,
,2025-06-08 00:00:00.000 UTC,Logion,81780.0,,,
,2025-06-09 00:00:00.000 UTC,Logion,81480.0,,,
,2025-06-10 00:00:00.000 UTC,Logion,81377.0,,,
,2025-06-11 00:00:00.000 UTC,Logion,81890.0,,,
,2025-06-12 00:00:00.000 UTC,Logion,82053.0,,,
,2025-06-13 00:00:00.000 UTC,Logion,80713.0,,,
,2025-06-14 00:00:00.000 UTC,Logion,82080.0,,,
,2025-06-15 00:00:00.000 UTC,Logion,81910.0,,,
,2025-06-16 00:00:00.000 UTC,Logion,20411.0,,,
,2025-05-04 00:00:00.000 UTC,Polimec,,457.0,,
,2025-05-05 00:00:00.000 UTC,Polimec,,709.0,,
,2025-05-06 00:00:00.000 UTC,Polimec,,582.0,,
,2025-05-07 00:00:00.000 UTC,Polimec,,676.0,,
,2025-05-08 00:00:00.000 UTC,Polimec,,875.0,,
,2025-05-09 00:00:00.000 UTC,Polimec,,759.0,,
,2025-05-10 00:00:00.000 UTC,Polimec,,579.0,,
,2025-05-11 00:00:00.000 UTC,Polimec,,579.0,,
,2025-05-12 00:00:00.000 UTC,Polimec,,603.0,,
,2025-05-13 00:00:00.000 UTC,Polimec,,692.0,,
,2025-05-14 00:00:00.000 UTC,Polimec,,858.0,,
,2025-05-15 00:00:00.000 UTC,Polimec,,862.0,,
,2025-05-16 00:00:00.000 UTC,Polimec,,854.0,,
,2025-05-17 00:00:00.000 UTC,Polimec,,854.0,,
,2025-05-18 00:00:00.000 UTC,Polimec,,850.0,,
,2025-05-19 00:00:00.000 UTC,Polimec,,848.0,,
,2025-05-20 00:00:00.000 UTC,Polimec,,856.0,,
,2025-05-21 00:00:00.000 UTC,Polimec,,854.0,,
,2025-05-22 00:00:00.000 UTC,Polimec,,869.0,,
,2025-05-23 00:00:00.000 UTC,Polimec,,897.0,,
