abstain_tokens,aye_tokens,delegates,is_active,last_vote_time,nay_tokens,support_ratio_pct,total_tokens_cast,total_votes,voter,voter_name,voter_type
1000.0,831000.0,,True,2025-07-22 17:51:12.000 UTC,787000.0,51.33,1619000.0,1620,1557x4U7JTAcso9AHpiVfrEsadABQ2swNWhDeh5WvUn9Zdog,🛸 Zooper Corp 🛸,Direct Voter
0.0,784000.0,,True,2025-07-22 16:49:42.000 UTC,746600.0,51.22,1530600.0,1612,155LwjGpJH3xYJwPBr6aapk2WCCAezVftvSMrqeJA6eE7v2d,😻 Stake Kat 😻,Direct Voter
0.0,1024152.62,ChaosDAO OpenGov,True,2025-07-21 16:54:18.000 UTC,1499188.1,40.59,2523340.72,1602,16dUmCQM28nzqAAG96rtLUbL9ni5LyT1wRx4SZoS11qnG94f,Tycho Masius,Delegator (or Mixed)
184606.97,491327.14,,True,2025-07-21 16:54:18.000 UTC,688707.29,36.0,1364641.41,1602,13EyMuuDHwtq5RD6w3psCJ9WvJFZzDDion6Fd2FVAqxz1g7K,ChaosDAO OpenGov,Direct Voter
5002.46,2432034.65,ChaosDAO OpenGov,True,2025-07-22 07:35:12.000 UTC,4781683.63,33.69,7218720.74,1597,12jmNN7tdiCZRExkXmWy9xJYsLuHTKqmDbH8RdAgxvaR5bJ2,12jm...5bJ2,Delegator (or Mixed)
9210000.0,1505100.0,,True,2025-06-04 20:47:42.000 UTC,1035000.0,12.81,11750100.0,1555,127zarPDhVzmCXVQ7Kfr1yyaa9wsMuJ74GJW9Q7ezHfQEgh6,🌌 Novasama 🌌,Direct Voter
0.0,620.0,ChaosDAO OpenGov,True,2025-07-21 16:54:18.000 UTC,863.0,41.81,1483.0,1539,16PoxoUdcLsEvsWQNVLUM2zyozKYa87Ebv1u7YcmYpTV9eFk,Jose.Crypto,Delegator (or Mixed)
0.0,62.0,ChaosDAO OpenGov,True,2025-07-21 16:54:18.000 UTC,86.3,41.81,148.3,1539,16JXDeYiqxUYTrzTF1aLJeFE26qUGkb2ATihHfnMk7NfA1Jh,16JX...A1Jh,Delegator (or Mixed)
0.0,600188.19,ChaosDAO OpenGov,True,2025-07-21 16:54:18.000 UTC,835423.24,41.81,1435611.43,1539,1127ecfCcZyeXSKsdF2RU6GP9JvSu871RbwJSzTyL8qrJHJV,1127...JHJV,Delegator (or Mixed)
0.0,620.0,ChaosDAO OpenGov,True,2025-07-21 16:54:18.000 UTC,863.0,41.81,1483.0,1539,16Csjz9kKHnMExKUbCS19whBqL1TBtCvbivK1xJeNCvM7NTZ,16Cs...7NTZ,Delegator (or Mixed)
0.0,358741.24,ChaosDAO OpenGov,True,2025-07-21 16:54:18.000 UTC,501641.05,41.7,860382.29,1538,14i6i8rgb8JGj3GFaYLjtY1RCpGNGwQZXsmsh342VtGq8WL5,14i6...8WL5,Delegator (or Mixed)
0.0,614.0,ChaosDAO OpenGov,True,2025-07-21 16:54:18.000 UTC,862.0,41.6,1476.0,1531,13ogthwygc6f7oj2xfK7ikcFZNvh8LCtTSRxwbsukh8EdgUh,13og...dgUh,Delegator (or Mixed)
0.0,1516920.0,ChaosDAO OpenGov,True,2025-07-21 16:54:18.000 UTC,2148605.0,41.38,3665525.0,1507,136PTwnQU8Emn2vEX9fAVBZCkCvqaFhWuGGwYSjEBq74pqtK,136P...pqtK,Delegator (or Mixed)
